word	frequency
you	6281002
i	5685306
the	4768490
to	3453407
a	3048287
it	2879962
and	2127187
that	2030642
of	1847884
in	1554103
what	1497273
is	1496575
me	1444168
we	1368177
he	1159154
this	1151546
for	1078097
my	1047309
on	1028449
your	995324
have	975195
do	954010
no	935435
don	928842
are	895002
be	890777
not	864776
was	839094
can	794772
know	786775
with	777902
all	765079
but	721508
here	708290
there	675022
they	664611
so	642185
get	641457
just	625315
go	623605
like	595522
up	547107
come	541847
right	537971
she	537022
him	533812
out	527158
if	519063
at	502693
now	495601
one	493421
about	489254
how	452699
oh	425834
want	422274
got	421928
her	417920
will	413591
well	406479
see	404784
good	398555
let	376765
yes	376461
think	372591
as	370096
who	366352
why	359743
yeah	350680
did	348741
from	344890
his	335767
when	312726
going	308785
man	302433
take	298933
where	298768
time	298237
them	297126
back	296679
an	289698
us	287533
look	287350
or	264520
would	260046
say	257401
were	256200
been	255133
then	254960
had	254169
tell	252535
some	248730
our	239653
okay	237479
by	230191
too	228400
gonna	223713
down	222253
could	222219
hey	221629
something	211583
never	211322
way	210863
very	210454
more	208166
really	207272
has	206540
make	203363
over	192969
please	192597
only	189389
love	188883
give	188687
little	187619
need	181167
people	176658
off	176266
two	167206
said	167103
sorry	163597
thank	161816
am	161676
sir	161587
should	160676
mean	160204
any	160046
because	159268
much	156901
sure	147708
even	146195
doing	144534
nothing	142487
must	141043
these	140194
thing	138800
help	138325
god	138170
day	133459
first	132451
won	132065
life	131860
anything	130839
again	128024
away	127531
stop	127127
wait	126332
night	125227
find	124482
into	123795
work	121244
still	121153
put	119459
home	119445
call	119194
before	117824
better	117672
their	117223
other	116563
talk	116244
after	114196
maybe	113044
great	112540
than	112444
those	112002
always	110955
thought	110333
long	110202
money	109884
old	109507
everything	109495
leave	108319
keep	106757
new	105509
told	105320
things	104988
name	104150
last	103323
father	101900
around	101430
years	100812
does	99688
hello	98302
ever	97179
place	93565
big	92052
nice	92013
uh	89868
feel	88822
girl	88123
stay	87483
believe	87436
thanks	86605
made	86360
mother	85399
listen	85163
three	84613
may	84594
guy	84353
hear	84101
understand	83470
shit	83390
coming	82772
world	82422
enough	81587
left	81445
fine	81412
every	81238
ok	81221
remember	80829
house	80471
course	80372
done	80050
boy	79187
wrong	79064
bad	78778
which	78128
woman	77495
another	77490
lot	77465
kind	76811
wanted	76810
through	76031
fuck	75908
guys	75871
came	75845
ask	75780
kill	75623
son	74420
today	74404
dead	74346
show	74246
own	73377
happened	72872
care	72508
mind	71809
someone	71708
try	70913
hi	70463
being	70357
same	70117
car	69775
yourself	69737
might	69693
dad	69666
miss	69304
morning	69052
else	68843
hell	68547
many	68018
men	67861
friend	67504
baby	66272
next	66157
talking	65901
move	65532
fucking	64861
huh	64671
live	64221
looking	63786
hold	63285
real	62802
getting	62779
without	62292
saw	62122
went	62049
seen	61842
room	61362
best	60881
wanna	60585
together	59516
found	59398
tomorrow	59204
wife	58458
job	58447
once	58312
gotta	58115
such	58092
matter	57673
head	57503
most	57387
heard	57367
alone	57265
ready	57123
haven	56361
happy	55861
already	55633
days	55508
brother	55312
run	55306
play	55210
tonight	55045
door	54866
bring	54613
mom	54044
myself	53752
open	53564
yet	53556
trying	53537
knew	53270
whole	53203
meet	52914
excuse	52898
family	52697
used	52082
while	51640
die	51546
use	51344
start	51268
took	50995
pretty	50664
gone	50473
called	50421
idea	50385
since	50153
watch	49589
turn	49578
hope	49388
year	49247
guess	49101
end	49081
sit	48944
beautiful	48839
hard	48627
says	48571
hand	48357
bit	48274
school	48096
both	47907
worry	47642
s	47293
minute	47262
true	47189
friends	47085
face	46916
soon	46827
lost	46786
forget	46734
bye	46426
young	46349
business	46181
five	46160
killed	46151
heart	46100
few	46092
problem	45925
wants	45882
later	45700
eat	45621
everyone	44827
drink	44778
damn	44765
ago	44643
shut	44606
pay	44586
police	44530
everybody	44275
each	43640
water	43618
anyone	43469
dear	43465
also	43380
shall	43122
looks	43108
saying	43084
until	43013
crazy	42795
late	42483
phone	42468
eyes	42264
kid	42100
easy	41981
ah	41360
sleep	41333
mine	41225
afraid	41088
doctor	41053
death	40730
nobody	40100
four	39996
under	39701
second	39673
music	39538
somebody	39526
t	39396
change	39291
far	39250
hands	39025
aren	38815
kids	38775
knows	38605
actually	38595
hit	38198
children	38073
case	38065
thinking	37764
waiting	37635
its	37632
gave	37489
read	37397
times	37337
minutes	37106
speak	37056
anyway	37028
stand	36916
part	36895
wish	36743
word	36714
having	36676
cut	36466
stuff	36300
comes	36188
war	36143
married	36128
number	36091
happen	35851
hurry	35746
fire	35635
quite	35351
fight	35296
rest	35211
close	35053
l	35035
check	34964
inside	34947
hurt	34892
half	34888
probably	34843
mr	34677
moment	34567
against	34551
girls	34457
makes	34455
working	34432
exactly	34418
lady	34407
women	34373
asked	34329
set	34253
boys	34252
taking	34196
husband	34194
story	34166
town	34164
chance	34143
child	34125
ass	33863
yours	33780
important	33415
whatever	33234
different	33094
trouble	32891
lord	32733
point	32716
deal	32678
sister	32656
goes	32637
o	32576
party	32394
week	32305
walk	32213
daughter	31985
means	31933
honey	31915
dog	31898
shot	31828
high	31711
bed	31660
gun	31472
game	31444
person	31433
body	31367
break	31340
free	31229
captain	31165
making	31124
side	31061
anymore	30950
country	30878
fun	30849
almost	30633
buy	30565
least	30528
truth	30522
six	30471
along	30042
met	30000
city	29956
behind	29781
send	29615
though	29430
hours	29412
between	29354
blood	29283
light	29147
supposed	29092
stupid	28952
brought	28933
died	28858
gets	28839
funny	28834
ahead	28810
answer	28791
full	28663
welcome	28628
started	28578
black	28494
question	28085
line	28000
front	27862
bitch	27827
hate	27748
um	27658
shoot	27615
white	27600
poor	27592
hot	27568
order	27514
anybody	27496
jesus	27437
ha	27287
sometimes	27207
reason	27159
king	26915
tried	26713
seems	26712
either	26625
outside	26603
m	26552
couple	26505
ma	26456
trust	26368
months	26225
alive	26218
hour	26051
pick	26021
able	25915
sick	25893
perhaps	25877
save	25840
clear	25775
office	25670
gentlemen	25636
john	25628
become	25586
book	25444
living	25272
playing	25136
food	25128
daddy	25093
telling	25054
cool	25005
dance	24902
red	24860
news	24827
leaving	24822
lose	24767
cold	24733
promise	24732
evening	24682
touch	24679
power	24390
scared	24301
boss	24268
fact	24030
dinner	23887
jack	23858
master	23806
uncle	23751
himself	23747
small	23673
darling	23447
quiet	23441
write	23420
hmm	23254
taken	23251
luck	23188
ten	23188
sent	23140
feeling	23105
cannot	23049
air	22997
earth	22993
glad	22991
law	22936
till	22934
serious	22719
wonderful	22598
needs	22479
dream	22468
street	22439
drive	22357
hair	22346
sort	22339
others	22292
running	22283
bet	22275
lives	22060
company	21868
follow	21690
whoa	21547
special	21536
fast	21501
sound	21478
sweet	21478
catch	21475
words	21446
careful	21445
human	21440
d	21346
goodbye	21261
safe	21257
perfect	21115
hang	20893
beat	20821
million	20727
rather	20642
happens	20582
top	20581
parents	20535
alright	20383
plan	20377
seem	20331
ya	20327
general	20317
known	20280
coffee	20228
ladies	20212
wow	20175
lucky	20161
win	20075
possible	20059
past	19904
calm	19896
pull	19893
lie	19851
y	19796
sign	19692
control	19654
return	19588
straight	19540
fall	19513
team	19505
longer	19463
laughing	19401
kiss	19344
asking	19283
tired	19175
feet	19166
learn	19079
drop	19043
e	19000
mad	18952
suppose	18894
quick	18871
wake	18804
strange	18772
marry	18747
train	18673
throw	18639
loved	18636
road	18610
sounds	18569
land	18505
felt	18487
somewhere	18457
picture	18416
step	18359
president	18357
eye	18352
hospital	18345
piece	18328
weeks	18309
secret	18215
sense	18209
forgive	18088
takes	18072
pass	18052
voice	18050
clean	18019
looked	18003
calling	17931
wonder	17925
song	17864
fault	17827
changed	17815
state	17813
seven	17803
born	17771
less	17724
film	17688
ride	17658
explain	17594
joe	17560
meeting	17444
class	17369
act	17323
none	17322
given	17318
finally	17251
fool	17249
yesterday	17216
la	17132
early	17107
worth	17047
ones	17015
tv	17009
future	16983
sex	16971
strong	16960
army	16922
mouth	16898
moving	16844
george	16826
frank	16716
sing	16677
bastard	16630
sun	16605
certainly	16591
american	16577
chief	16570
worked	16537
clothes	16442
horse	16411
report	16345
christmas	16305
sell	16301
mama	16176
turned	16174
questions	16054
dark	16030
absolutely	15983
peace	15956
month	15954
movie	15949
lovely	15947
boat	15942
blue	15897
seeing	15888
hotel	15868
speaking	15856
eight	15811
eh	15763
york	15753
ship	15749
rock	15700
continues	15698
sam	15641
age	15612
christ	15570
murder	15546
finish	15530
letter	15485
court	15465
works	15444
swear	15427
expect	15408
bill	15407
finished	15407
giving	15406
officer	15362
present	15334
near	15292
worse	15262
busy	15255
pain	15251
kept	15159
ball	15143
terrible	15141
fear	15107
floor	15106
laughs	15073
wear	15030
kidding	14999
sea	14983
fly	14853
imagine	14843
forever	14840
count	14818
gold	14793
charlie	14785
forgot	14758
radio	14745
attention	14740
decided	14726
idiot	14680
french	14673
goddamn	14614
mistake	14603
caught	14581
birthday	14561
short	14526
happening	14513
afternoon	14452
soul	14383
figure	14379
paid	14357
station	14343
simple	14276
bag	14273
tom	14225
fish	14214
date	14208
rich	14198
blow	14169
paul	14154
broke	14113
miles	14087
during	14081
ring	14069
choice	14012
bank	14009
david	14001
relax	13980
except	13965
ooh	13961
attack	13943
join	13940
wedding	13932
worried	13926
table	13914
completely	13857
across	13848
mary	13845
paper	13831
star	13799
message	13779
pleasure	13774
dude	13732
building	13725
watching	13721
chuckles	13711
stick	13682
dangerous	13667
america	13647
meant	13619
round	13572
honor	13565
fair	13552
ls	13491
hungry	13470
middle	13465
de	13452
thinks	13443
buddy	13415
lying	13411
unless	13360
drunk	13349
instead	13346
government	13324
re	13312
spend	13305
certain	13296
major	13251
charge	13181
needed	13162
deep	13157
hide	13151
hundred	13136
english	13099
handle	13094
bought	13091
key	13021
cry	12976
history	12971
interested	12949
trip	12942
lead	12926
window	12924
lieutenant	12913
michael	12912
enjoy	12910
system	12885
sake	12883
fell	12879
anywhere	12875
quickly	12873
cover	12863
sitting	12850
ran	12834
church	12830
surprise	12830
colonel	12811
carry	12776
situation	12776
tea	12758
smart	12755
yo	12755
force	12751
teach	12738
interesting	12729
information	12710
problems	12708
paris	12701
professor	12690
box	12643
holy	12613
often	12593
plane	12566
dress	12549
lunch	12538
thousand	12528
smell	12526
missing	12465
third	12426
ground	12422
crying	12416
talked	12410
service	12393
respect	12370
ice	12342
accident	12307
stopped	12260
tough	12255
heaven	12242
proud	12220
laugh	12209
security	12207
sad	12205
sighs	12200
lived	12192
art	12173
difficult	12171
harry	12153
mark	12120
single	12111
dare	12092
c	12091
group	12065
record	12057
wind	12051
cops	12021
fix	12007
club	11998
upon	11979
marriage	11940
mike	11910
mess	11901
besides	11873
fighting	11865
impossible	11857
forward	11853
quit	11836
entire	11827
wine	11800
normal	11778
visit	11770
offer	11744
public	11732
missed	11730
screaming	11707
prison	11696
smoke	11692
killing	11678
agree	11664
saved	11654
river	11651
broken	11644
neither	11640
whether	11618
madam	11573
weird	11567
green	11562
bloody	11530
arms	11522
evil	11520
asshole	11480
south	11466
bob	11461
wall	11459
bar	11449
fat	11439
il	11412
judge	11389
orders	11386
seat	11383
bear	11330
wrote	11312
queen	11305
slow	11294
cause	11282
dreams	11280
loves	11278
teacher	11276
cop	11273
standing	11271
liked	11268
north	11263
glass	11250
protect	11244
accept	11221
dirty	11221
beginning	11212
difference	11210
cross	11185
angry	11183
machine	11181
scene	11176
amazing	11139
double	11133
share	11127
totally	11126
honest	11123
moon	11119
personal	11087
private	11084
joke	11082
realize	11075
beer	11072
space	11066
position	11048
jump	11003
whose	11003
jail	10990
area	10968
promised	10945
tree	10943
foot	10938
continue	10905
test	10904
cat	10898
dying	10884
within	10882
singing	10877
ought	10872
brain	10869
sergeant	10863
nine	10838
village	10829
peter	10817
wearing	10794
ln	10792
walking	10788
field	10780
dollars	10775
bother	10765
girlfriend	10759
bus	10725
crime	10723
congratulations	10714
lots	10672
doubt	10659
camera	10627
became	10612
german	10610
books	10609
gives	10600
shoes	10576
truck	10557
ben	10549
kick	10547
card	10540
cash	10531
sleeping	10510
push	10496
moved	10493
likes	10465
calls	10461
cute	10461
max	10456
park	10447
apartment	10442
bullshit	10405
evidence	10361
store	10360
grow	10355
owe	10354
especially	10271
aunt	10269
reach	10259
guard	10242
spent	10236
summer	10223
enemy	10222
rules	10196
ho	10191
duty	10185
island	10183
seconds	10163
n	10140
johnny	10125
eating	10117
smile	10113
staying	10108
silly	10106
san	10053
folks	9986
suddenly	9983
knock	9964
pardon	9964
everywhere	9952
crowd	9941
henry	9937
beg	9923
stuck	9900
action	9892
upset	9887
driving	9884
seriously	9859
begin	9858
starting	9851
prove	9842
feels	9834
grand	9826
using	9805
guns	9793
legs	9793
nose	9748
pictures	9748
rid	9733
brothers	9730
mum	9730
list	9728
sky	9713
immediately	9697
definitely	9675
college	9674
shop	9671
arm	9664
escape	9660
listening	9657
mommy	9657
gas	9640
low	9605
jimmy	9590
self	9589
hat	9583
hole	9532
ray	9522
bell	9505
price	9498
cell	9491
rain	9483
arrived	9475
warm	9459
west	9452
passed	9451
board	9439
boyfriend	9428
nervous	9425
ourselves	9419
london	9413
contact	9406
nor	9402
lawyer	9391
upstairs	9380
lay	9373
closed	9369
goin	9337
devil	9336
gift	9336
favor	9334
tony	9330
jim	9301
empty	9299
prince	9293
papa	9292
suit	9284
press	9275
themselves	9248
writing	9246
asleep	9243
type	9241
grab	9226
spirit	9225
burn	9217
arrest	9209
band	9204
papers	9204
indeed	9202
majesty	9183
pop	9182
played	9176
involved	9164
dogs	9160
agent	9159
above	9138
wild	9135
further	9131
nick	9124
race	9092
mrs	9089
spot	9055
fellow	9037
blind	9007
whom	9001
leg	8986
awful	8977
killer	8975
appreciate	8968
flowers	8968
fit	8967
aye	8964
beauty	8950
written	8947
partner	8946
twenty	8932
bird	8929
dick	8927
named	8923
lock	8913
blame	8906
otherwise	8885
heavy	8880
drinking	8869
choose	8867
allow	8838
twice	8837
shouting	8829
magic	8815
waste	8813
address	8798
plenty	8771
raise	8754
flying	8753
notice	8753
learned	8749
gasps	8736
mission	8732
doc	8730
decide	8722
aah	8698
taste	8698
flight	8684
picked	8683
billy	8666
gay	8652
kitchen	8645
experience	8626
fresh	8624
chicken	8616
cost	8610
nature	8603
fucked	8596
hero	8595
shooting	8594
breakfast	8588
james	8566
holding	8549
places	8549
planet	8545
allowed	8536
search	8534
however	8525
battle	8514
putting	8506
crap	8504
steal	8496
usually	8488
lights	8485
neck	8480
eddie	8461
mate	8457
hardly	8451
sold	8451
decision	8433
ow	8427
destroy	8426
sweetheart	8401
famous	8396
study	8396
animals	8383
simply	8379
keys	8377
language	8377
princess	8377
memory	8367
names	8365
worst	8362
throat	8354
herself	8352
interest	8347
faith	8336
b	8326
guilty	8326
ways	8324
shame	8314
director	8309
stone	8302
innocent	8296
bottle	8269
states	8269
mister	8268
pray	8264
bunch	8257
camp	8253
starts	8249
seemed	8234
necessary	8233
form	8224
department	8217
bomb	8206
stars	8206
stage	8202
animal	8195
roll	8194
east	8185
dancing	8182
reading	8177
faster	8161
locked	8129
van	8122
soldier	8116
military	8106
final	8096
apart	8079
match	8079
computer	8076
detective	8071
soldiers	8067
admit	8056
tight	8054
engine	8045
outta	8041
build	8037
treat	8031
sight	8025
closer	8017
huge	8016
complete	8006
excellent	8003
alex	7992
beach	7990
surprised	7985
dressed	7965
ridiculous	7956
bigger	7940
keeps	7932
stole	7926
united	7924
among	7911
hall	7909
danger	7900
itself	7898
cup	7895
knife	7893
support	7845
milk	7816
mention	7793
fired	7792
pants	7787
built	7784
lies	7783
cousin	7780
steve	7766
feelings	7764
charles	7743
main	7728
cook	7723
following	7718
meat	7709
grandma	7696
obviously	7688
ill	7680
angel	7674
screams	7670
risk	7668
plans	7657
bathroom	7654
relationship	7647
tape	7614
sword	7612
taught	7612
forgotten	7607
nonsense	7601
danny	7595
freedom	7590
extra	7582
pregnant	7578
corner	7576
beyond	7574
hiding	7559
belong	7543
sarah	7539
wash	7532
drugs	7531
cars	7528
chinese	7519
skin	7506
breathe	7504
large	7502
motherfucker	7501
gentleman	7477
leaves	7471
driver	7465
command	7463
health	7463
ugly	7462
patient	7461
helped	7440
note	7397
u	7388
f	7366
figured	7361
bridge	7350
strength	7349
martin	7348
greatest	7343
rose	7342
wondering	7339
acting	7338
dumb	7338
pig	7338
horses	7333
level	7323
nuts	7323
sunday	7317
w	7310
track	7307
commander	7303
plays	7274
anna	7272
heads	7268
walked	7263
strike	7258
france	7250
understood	7250
rule	7244
turns	7243
weapons	7228
england	7218
h	7217
common	7205
madame	7181
consider	7179
grunts	7174
according	7172
roger	7169
stories	7169
losing	7154
weil	7139
speed	7134
favorite	7132
tells	7119
due	7115
sheriff	7110
serve	7093
keeping	7091
teeth	7083
japanese	7081
began	7079
richard	7061
da	7056
lee	7039
shirt	7035
rings	7027
robert	7014
spoke	6993
size	6989
feed	6986
held	6985
bobby	6978
coach	6978
dry	6963
pack	6960
ideas	6927
grace	6924
natural	6924
prefer	6923
bottom	6920
balls	6919
mountain	6911
national	6898
movies	6896
witness	6883
view	6882
breath	6879
ticket	6869
energy	6865
emergency	6863
code	6856
hurts	6844
cheers	6843
correct	6840
responsible	6835
earlier	6828
remain	6819
tommy	6818
trick	6816
weekend	6815
inspector	6810
account	6805
pal	6805
ex	6793
usual	6789
hanging	6786
